0,1,2,3,4,5,6,7,8,9
Western Europe,Wholemeal Flour,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Wholemeal Flour,Pet Care,Tonnes,4.793,4.871,4.916,4.899,4.865,4.862
Western Europe,Rye Flour,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Rye Flour,Pet Care,Tonnes,6.807,6.899,6.942,6.861,6.788,6.749
Western Europe,Soya Flour,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Soya Flour,Pet Care,Tonnes,18.988,19.344,19.523,19.484,19.549,19.679
Western Europe,Other Flours,Pet Care,% Breakdown,04,04,04,04,04,04
Western Europe,Other Flours,Pet Care,Tonnes,264.453,269.574,272.035,271.203,271.116,271.781
Western Europe,Milk,Pet Care,% Breakdown,02,02,02,02,02,02
Western Europe,Milk,Pet Care,Tonnes,91.561,93.483,94.404,94.411,94.712,95.365
Western Europe,Cheese Powder,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Cheese Powder,Pet Care,Tonnes,2.992,3.088,3.136,3.160,3.211,3.295
Western Europe,Cream,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Cream,Pet Care,Tonnes,992,1.019,1.036,1.058,1.099,1.143
Western Europe,Full Cream Milk Powder,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Full Cream Milk Powder,Pet Care,Tonnes,6.118,6.233,6.290,6.283,6.283,6.309
Western Europe,Skimmed Milk,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Skimmed Milk,Pet Care,Tonnes,3.576,3.668,3.738,3.769,3.795,3.827
Western Europe,Skimmed Milk Powder,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Skimmed Milk Powder,Pet Care,Tonnes,10.461,10.618,10.671,10.637,10.627,10.635
Western Europe,Whey Powder,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Whey Powder,Pet Care,Tonnes,14.773,15.076,15.222,15.211,15.236,15.308
Western Europe,Whole Milk,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Whole Milk,Pet Care,Tonnes,10.519,10.789,10.896,10.945,11.059,11.241
